persona;Título da página e nome da tela;eventos;% dentro da persona
Acesso Concentrado;/login;1238;87.49
Acesso Concentrado;/login-verificacao-seguranca;67;4.73
Acesso Concentrado;/login-verificacao-seguranca:tel;42;2.97
Acesso Concentrado;/login-verificacao-seguranca:email-com-tel;17;1.2
Acesso Concentrado;/home;16;1.13
Acesso Concentrado;(not set);14;0.99
Acesso Concentrado;/ajuda;7;0.49
Acesso Concentrado;/login-nao-recebi-codigo:tel;5;0.35
Acesso Concentrado;/menu;3;0.21
Acesso Concentrado;/notificacoes;2;0.14
Engajado Financeiro;/login;5557;12.07
Engajado Financeiro;/home;4476;9.72
Engajado Financeiro;/dados-pagamento;4316;9.37
Engajado Financeiro;/detalhes-apolice-vi;4288;9.31
Engajado Financeiro;/apolices-vi;2787;6.05
Engajado Financeiro;/detalhes-do-pagamento:em-atraso;1585;3.44
Engajado Financeiro;/alterar-forma-de-pagamento/adicionar-pagamento;1532;3.33
Engajado Financeiro;/detalhes-dados-pagamento;1305;2.83
Engajado Financeiro;(not set);1237;2.69
Engajado Financeiro;/menu;1066;2.32
Explorador;/login;5308;28.53
Explorador;/home;3549;19.08
Explorador;/detalhes-apolice-vi;2111;11.35
Explorador;/menu;997;5.36
Explorador;/login-verificacao-seguranca;968;5.2
Explorador;/apolices-vi;912;4.9
Explorador;/login-verificacao-seguranca:tel;726;3.9
Explorador;(not set);688;3.7
Explorador;/dados-pagamento;689;3.7
Explorador;/notificacoes;390;2.1
Multiuso (Apolices_Seguros);/login;9193;14.48
Multiuso (Apolices_Seguros);/home;6731;10.61
Multiuso (Apolices_Seguros);/dados-pagamento;4261;6.71
Multiuso (Apolices_Seguros);/detalhes-apolice-vi;4059;6.4
Multiuso (Apolices_Seguros);/apolices-vi;3576;5.63
Multiuso (Apolices_Seguros);/menu;3405;5.36
Multiuso (Apolices_Seguros);/dados-cadastrais-vi;1758;2.77
Multiuso (Apolices_Seguros);/extrato-completo;1749;2.76
Multiuso (Apolices_Seguros);/notificacoes;1466;2.31
Multiuso (Apolices_Seguros);/extratos;1167;1.84
